"objectid","common_name","longitude","latitude"
459,"Chokecherry",-76.9588073116081,38.8682612654451
460,"Chokecherry",-76.9636912085824,38.8719653418271
461,"Chokecherry",-76.9721646442829,38.8628871893923
462,"Chokecherry",-76.9730863315689,38.8631216246633
463,"Cherry Spp.",-76.9448304377744,38.8674717668086
464,"Snowgoose Cherry",-76.9854838807764,38.8649885659696
465,"Yoshino Cherry",-76.9472408429905,38.8646172134137
466,"Cherry Spp.",-76.9463051910317,38.8677156818333
467,"Okame Cherry",-76.9877077081442,38.8651239481118
468,"Kwanzan Cherry",-76.9857835960361,38.864339997393
469,"Chokecherry",-76.9499700030131,38.866996636086
470,"Snowgoose Cherry",-76.9879493263003,38.8672319419006
471,"Kwanzan Cherry",-76.9873628541124,38.8604755664942
472,"Snowgoose Cherry",-76.95591774221,38.8638550955363
473,"Cherry Spp.",-76.9542843485438,38.8595124087707
